Número,Nome,Estrelas,Idade (anos),Número de releases,Url
86,realm/realm-java,11365,10.9,0,https://github.com/realm/realm-java
87,java-decompiler/jd-gui,12282,7.98,18,https://github.com/java-decompiler/jd-gui
88,mrdavidlaing/javascript-koans,2328,12.36,0,https://github.com/mrdavidlaing/javascript-koans
89,marcuswestin/WebViewJavascriptBridge,14106,11.55,0,https://github.com/marcuswestin/WebViewJavascriptBridge
90,ganqqwerty/123-Essential-JavaScript-Interview-Questions,4241,7.79,0,https://github.com/ganqqwerty/123-Essential-JavaScript-Interview-Questions
91,stleary/JSON-java,4220,12.23,17,https://github.com/stleary/JSON-java
92,BonsaiDen/JavaScript-Garden,3415,12.19,0,https://github.com/BonsaiDen/JavaScript-Garden
93,shichuan/javascript-patterns,9325,11.26,0,https://github.com/shichuan/javascript-patterns
94,LinkedInLearning/learning-java-2825378,588,3.16,0,https://github.com/LinkedInLearning/learning-java-2825378
95,rohan-paul/Awesome-JavaScript-Interviews,2433,4.96,0,https://github.com/rohan-paul/Awesome-JavaScript-Interviews
96,careercup/CtCI-6th-Edition-JavaScript,2918,7.09,0,https://github.com/careercup/CtCI-6th-Edition-JavaScript
97,aspnet/JavaScriptServices,3067,7.37,2,https://github.com/aspnet/JavaScriptServices
98,blueimp/JavaScript-Templates,1699,11.26,0,https://github.com/blueimp/JavaScript-Templates
99,CodingDocs/awesome-java,7881,3.27,0,https://github.com/CodingDocs/awesome-java
100,google/google-java-format,4890,7.84,18,https://github.com/google/google-java-format
101,google/google-java-format,4890,7.84,18,https://github.com/google/google-java-format
102,CarpenterLee/JavaLambdaInternals,1942,6.42,0,https://github.com/CarpenterLee/JavaLambdaInternals
103,goldbergyoni/javascript-testing-best-practices,21040,3.7,0,https://github.com/goldbergyoni/javascript-testing-best-practices
104,soyaine/JavaScript30,2294,6.23,0,https://github.com/soyaine/JavaScript30
105,jfinal/jfinal,3190,10.89,0,https://github.com/jfinal/jfinal
106,TooTallNate/Java-WebSocket,9630,13.15,14,https://github.com/TooTallNate/Java-WebSocket
107,javascript-obfuscator/javascript-obfuscator,10658,6.85,216,https://github.com/javascript-obfuscator/javascript-obfuscator
108,graphql-java/graphql-java,5763,7.69,49,https://github.com/graphql-java/graphql-java
109,mrdear/JavaWEB,830,6.65,0,https://github.com/mrdear/JavaWEB
110,coderbruis/JavaSourceCodeLearning,2777,2.78,0,https://github.com/coderbruis/JavaSourceCodeLearning
111,hamcrest/JavaHamcrest,2031,10.95,7,https://github.com/hamcrest/JavaHamcrest
112,wesbos/beginner-javascript,6053,3.79,0,https://github.com/wesbos/beginner-javascript
113,workshopper/javascripting,2697,8.46,0,https://github.com/workshopper/javascripting
114,Snailclimb/JavaGuide-Interview,1858,2.96,0,https://github.com/Snailclimb/JavaGuide-Interview
115,testcontainers/testcontainers-java,6896,7.93,61,https://github.com/testcontainers/testcontainers-java
116,getsentry/sentry-javascript,6935,11.12,369,https://github.com/getsentry/sentry-javascript
117,shopizer-ecommerce/shopizer,3010,10.31,18,https://github.com/shopizer-ecommerce/shopizer
118,mgechev/javascript-algorithms,7641,10.32,0,https://github.com/mgechev/javascript-algorithms
119,GitbookIO/javascript,3152,8.96,0,https://github.com/GitbookIO/javascript
120,h2pl/Java-Tutorial,5811,4.87,0,https://github.com/h2pl/Java-Tutorial
121,JavaCourse00/JavaCourseCodes,589,2.38,0,https://github.com/JavaCourse00/JavaCourseCodes
122,go-cqhttp/java,174,5.37,0,https://github.com/go-cqhttp/java
123,code4craft/webmagic,10755,9.89,23,https://github.com/code4craft/webmagic
124,gzc426/Java-Interview,5797,4.01,0,https://github.com/gzc426/Java-Interview
125,michaelliao/learn-javascript,1666,7.6,0,https://github.com/michaelliao/learn-javascript
126,idaSmilence/javaDesign,880,1.91,0,https://github.com/idaSmilence/javaDesign
127,john-smilga/javascript-basic-projects,2994,3.32,0,https://github.com/john-smilga/javascript-basic-projects
128,enhorse/java-interview,3771,5.86,0,https://github.com/enhorse/java-interview
